time="2026-08-18T00:37:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-08-18T00:37:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-08-18T00:37:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
LAST SEEN   TYPE      REASON              OBJECT                                          MESSAGE
108s        Normal    Scheduled           pod/enterprise-doc-migrate-j2dql                Successfully assigned enterprise-doc-agent-staging/enterprise-doc-migrate-j2dql to vm-0-2-ubuntu
9m7s        Normal    Scheduled           pod/m5-staging-smoke-pjgz8                      Successfully assigned enterprise-doc-agent-staging/m5-staging-smoke-pjgz8 to vm-0-2-ubuntu
80s         Normal    Scheduled           pod/m5-staging-smoke-lvmfh                      Successfully assigned enterprise-doc-agent-staging/m5-staging-smoke-lvmfh to vm-0-2-ubuntu
9m40s       Normal    Scheduled           pod/enterprise-doc-worker-755467f7f9-9cjn5      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-worker-755467f7f9-9cjn5 to vm-0-2-ubuntu
9m32s       Normal    Scheduled           pod/enterprise-doc-api-6b7867f4dc-sxt6m         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-api-6b7867f4dc-sxt6m to vm-0-2-ubuntu
9m41s       Normal    Scheduled           pod/enterprise-doc-api-6b7867f4dc-lwqbb         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-api-6b7867f4dc-lwqbb to vm-0-2-ubuntu
9m35s       Normal    Scheduled           pod/enterprise-doc-web-5fcfd4c456-qc9pd         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-web-5fcfd4c456-qc9pd to vm-0-2-ubuntu
9m40s       Normal    Scheduled           pod/enterprise-doc-web-5fcfd4c456-99vkf         Successfully assigned enterprise-doc-agent-staging/enterprise-doc-web-5fcfd4c456-99vkf to vm-0-2-ubuntu
91s         Normal    Scheduled           pod/enterprise-doc-embedding-rollout-txdmr      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-embedding-rollout-txdmr to vm-0-2-ubuntu
9m57s       Normal    Scheduled           pod/enterprise-doc-migrate-gjdm6                Successfully assigned enterprise-doc-agent-staging/enterprise-doc-migrate-gjdm6 to vm-0-2-ubuntu
9m23s       Normal    Scheduled           pod/enterprise-doc-embedding-rollout-2sj6d      Successfully assigned enterprise-doc-agent-staging/enterprise-doc-embedding-rollout-2sj6d to vm-0-2-ubuntu
9m40s       Normal    Scheduled           pod/enterprise-doc-consumer-7576b7d64c-kg26x    Successfully assigned enterprise-doc-agent-staging/enterprise-doc-consumer-7576b7d64c-kg26x to vm-0-2-ubuntu
9m58s       Normal    SuccessfulCreate    job/enterprise-doc-migrate                      Created pod: enterprise-doc-migrate-gjdm6
9m58s       Normal    Started             pod/enterprise-doc-migrate-gjdm6                Container started
9m58s       Normal    Created             pod/enterprise-doc-migrate-gjdm6                Container created
9m58s       Normal    Pulled              pod/enterprise-doc-migrate-gjdm6                Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:731055539544faac51ea38bd673ef73d24be8acb6bfa32f59eb8b65b588d13c8" already present on machine and can be accessed by the pod
9m42s       Normal    SuccessfulDelete    replicaset/enterprise-doc-api-6dd8578d48        Deleted pod: enterprise-doc-api-6dd8578d48-5fh4j
9m42s       Normal    ScalingReplicaSet   deployment/enterprise-doc-api                   Scaled down replica set enterprise-doc-api-6dd8578d48 from 2 to 1
9m42s       Normal    ScalingReplicaSet   deployment/enterprise-doc-api                   Scaled up replica set enterprise-doc-api-6b7867f4dc from 0 to 1
9m42s       Normal    Killing             pod/enterprise-doc-api-6dd8578d48-5fh4j         Stopping container api
9m42s       Normal    Completed           job/enterprise-doc-migrate                      Job completed
9m42s       Normal    SuccessfulCreate    replicaset/enterprise-doc-api-6b7867f4dc        Created pod: enterprise-doc-api-6b7867f4dc-lwqbb
9m41s       Normal    ScalingReplicaSet   deployment/enterprise-doc-web                   Scaled up replica set enterprise-doc-web-5fcfd4c456 from 0 to 1
9m41s       Normal    Pulled              pod/enterprise-doc-web-5fcfd4c456-99vkf         Container image "ghcr.io/drew-z/enterprise-doc-web@sha256:c02e3bfb19f09c5248c3fe5a8bd786f5f1867f6a5b7716f4dd2313740111a303" already present on machine and can be accessed by the pod
9m41s       Normal    SuccessfulDelete    replicaset/enterprise-doc-consumer-cf48c5c5f    Deleted pod: enterprise-doc-consumer-cf48c5c5f-rmvjf
9m41s       Normal    ScalingReplicaSet   deployment/enterprise-doc-consumer              Scaled down replica set enterprise-doc-consumer-cf48c5c5f from 1 to 0
9m41s       Normal    ScalingReplicaSet   deployment/enterprise-doc-consumer              Scaled up replica set enterprise-doc-consumer-7576b7d64c from 0 to 1
9m41s       Normal    SuccessfulCreate    replicaset/enterprise-doc-consumer-7576b7d64c   Created pod: enterprise-doc-consumer-7576b7d64c-kg26x
9m41s       Normal    Pulled              pod/enterprise-doc-api-6b7867f4dc-lwqbb         Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:731055539544faac51ea38bd673ef73d24be8acb6bfa32f59eb8b65b588d13c8" already present on machine and can be accessed by the pod
9m41s       Normal    Created             pod/enterprise-doc-api-6b7867f4dc-lwqbb         Container created
9m41s       Normal    ScalingReplicaSet   deployment/enterprise-doc-worker                Scaled up replica set enterprise-doc-worker-755467f7f9 from 0 to 1
9m41s       Normal    Started             pod/enterprise-doc-consumer-7576b7d64c-kg26x    Container started
9m41s       Normal    ScalingReplicaSet   deployment/enterprise-doc-worker                Scaled down replica set enterprise-doc-worker-66f6968f45 from 1 to 0
9m41s       Normal    SuccessfulCreate    replicaset/enterprise-doc-worker-755467f7f9     Created pod: enterprise-doc-worker-755467f7f9-9cjn5
9m41s       Normal    Killing             pod/enterprise-doc-consumer-cf48c5c5f-rmvjf     Stopping container consumer
9m41s       Normal    Started             pod/enterprise-doc-api-6b7867f4dc-lwqbb         Container started
9m41s       Normal    SuccessfulDelete    replicaset/enterprise-doc-worker-66f6968f45     Deleted pod: enterprise-doc-worker-66f6968f45-nktkt
9m41s       Normal    Killing             pod/enterprise-doc-worker-66f6968f45-nktkt      Stopping container worker
