time="2026-08-19T14:24:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-08-19T14:24:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
time="2026-08-19T14:24:45+08:00" level=warning msg="open /etc/rancher/k3s/config.yaml.d: permission denied"
LAST SEEN   TYPE      REASON              OBJECT                                          MESSAGE
7m24s       Normal    Created             pod/enterprise-doc-worker-7fbdb7bdc5-fkn4v      Container created
7m24s       Normal    Started             pod/enterprise-doc-consumer-7f9668c9cc-qvblp    Container started
7m18s       Normal    ScalingReplicaSet   deployment/enterprise-doc-api                   Scaled down replica set enterprise-doc-api-97b7b86 from 1 to 0
7m18s       Normal    Pulled              pod/enterprise-doc-api-7fc9b49dd9-dblbb         Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:5472211ba8882ffa8ed60cffbe85aab94b2712cfece28f29d6b0271f0dbdb703" already present on machine and can be accessed by the pod
7m18s       Normal    Created             pod/enterprise-doc-api-7fc9b49dd9-dblbb         Container created
7m18s       Normal    Started             pod/enterprise-doc-api-7fc9b49dd9-dblbb         Container started
7m18s       Normal    SuccessfulCreate    replicaset/enterprise-doc-api-7fc9b49dd9        Created pod: enterprise-doc-api-7fc9b49dd9-dblbb
7m18s       Normal    Killing             pod/enterprise-doc-api-97b7b86-rwssc            Stopping container api
7m18s       Normal    SuccessfulDelete    replicaset/enterprise-doc-api-97b7b86           Deleted pod: enterprise-doc-api-97b7b86-rwssc
7m18s       Normal    ScalingReplicaSet   deployment/enterprise-doc-api                   Scaled up replica set enterprise-doc-api-7fc9b49dd9 from 1 to 2
7m7s        Normal    SuccessfulCreate    job/enterprise-doc-embedding-rollout            Created pod: enterprise-doc-embedding-rollout-p7r2l
7m6s        Normal    Started             pod/enterprise-doc-embedding-rollout-p7r2l      Container started
7m6s        Normal    Pulled              pod/enterprise-doc-embedding-rollout-p7r2l      Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:5472211ba8882ffa8ed60cffbe85aab94b2712cfece28f29d6b0271f0dbdb703" already present on machine and can be accessed by the pod
7m6s        Normal    Created             pod/enterprise-doc-embedding-rollout-p7r2l      Container created
6m56s       Normal    Completed           job/enterprise-doc-embedding-rollout            Job completed
6m56s       Normal    SuccessfulCreate    job/m5-staging-smoke                            Created pod: m5-staging-smoke-n5c4m
6m55s       Normal    Pulled              pod/m5-staging-smoke-n5c4m                      Container image "curlimages/curl@sha256:94e9e444bcba979c2ea12e27ae39bee4cd10bc7041a472c4727a558e213744e6" already present on machine and can be accessed by the pod
6m55s       Normal    Created             pod/m5-staging-smoke-n5c4m                      Container created
6m54s       Normal    Started             pod/m5-staging-smoke-n5c4m                      Container started
6m51s       Normal    Completed           job/m5-staging-smoke                            Job completed
2m19s       Normal    Created             pod/enterprise-doc-migrate-zrfrk                Container created
2m19s       Normal    Started             pod/enterprise-doc-migrate-zrfrk                Container started
2m19s       Normal    SuccessfulCreate    job/enterprise-doc-migrate                      Created pod: enterprise-doc-migrate-zrfrk
2m19s       Normal    Pulled              pod/enterprise-doc-migrate-zrfrk                Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:5472211ba8882ffa8ed60cffbe85aab94b2712cfece28f29d6b0271f0dbdb703" already present on machine and can be accessed by the pod
2m4s        Normal    Completed           job/enterprise-doc-migrate                      Job completed
2m1s        Normal    Started             pod/enterprise-doc-embedding-rollout-x89hs      Container started
2m1s        Normal    SuccessfulCreate    job/enterprise-doc-embedding-rollout            Created pod: enterprise-doc-embedding-rollout-x89hs
2m1s        Normal    Created             pod/enterprise-doc-embedding-rollout-x89hs      Container created
2m1s        Normal    Pulled              pod/enterprise-doc-embedding-rollout-x89hs      Container image "ghcr.io/drew-z/enterprise-doc-api@sha256:5472211ba8882ffa8ed60cffbe85aab94b2712cfece28f29d6b0271f0dbdb703" already present on machine and can be accessed by the pod
111s        Normal    Completed           job/enterprise-doc-embedding-rollout            Job completed
110s        Normal    SuccessfulCreate    job/m5-staging-smoke                            Created pod: m5-staging-smoke-7kwq8
109s        Normal    Created             pod/m5-staging-smoke-7kwq8                      Container created
109s        Normal    Pulled              pod/m5-staging-smoke-7kwq8                      Container image "curlimages/curl@sha256:94e9e444bcba979c2ea12e27ae39bee4cd10bc7041a472c4727a558e213744e6" already present on machine and can be accessed by the pod
108s        Normal    Started             pod/m5-staging-smoke-7kwq8                      Container started
105s        Normal    Completed           job/m5-staging-smoke                            Job completed
